,Číslo obce,Název obce,Registrovaní volici
48,589748,Myslejovice,https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589748&xvyber=7103
49,589756,Němčice nad Hanou,https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589756&xvyber=7103
50,589764,Nezamyslice,https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589764&xvyber=7103
51,589772,Niva,https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589772&xvyber=7103
52,589799,Obědkovice,https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589799&xvyber=7103
53,589802,Ohrozim,https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589802&xvyber=7103
54,589811,Ochoz,https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589811&xvyber=7103
55,589829,Olšany u Prostějova,https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589829&xvyber=7103
56,589837,Ondratice,https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589837&xvyber=7103
57,589845,Otaslavice,https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589845&xvyber=7103
58,589853,Otinoves,https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589853&xvyber=7103
59,557196,Pavlovice u Kojetína,https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=557196&xvyber=7103
60,589870,Pěnčín,https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589870&xvyber=7103
61,589888,Pivín,https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589888&xvyber=7103
62,589896,Plumlov,https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589896&xvyber=7103
63,549983,Polomí,https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=549983&xvyber=7103
64,589250,Prostějov,https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589250&xvyber=7103
65,589918,Prostějovičky,https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589918&xvyber=7103
66,589926,Protivanov,https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589926&xvyber=7103
67,589934,Přemyslovice,https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589934&xvyber=7103
68,589942,Ptení,https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589942&xvyber=7103
69,589951,Raková u Konice,https://volby.cz/pls/ps2017nss/ps311?xjazyk=CZ&xkraj=12&xobec=589951&xvyber=7103
